# Pinyin syllable -> characters, for the Chinese layouts.
# Generated by scripts/keyboard/generate_pinyin.py from Unicode/ICU Han-Latin
# readings. Format: syllable<TAB>characters, most likely candidate first.
a	啊阿吖锕錒
ge	个割各咯哥戈搁格歌疙胳葛铬阁隔革鸽仡哿嗝圪塥搿硌膈舸虼袼镉骼鬲佮個愅挌擱滆滒犵獦箇肐茖觡輵轕鉻閣閤鞈鞷韐騔鮯鴐鴿匌呄嗰彁戓戨敋槅櫊牫牱臵蛒裓諽謌鎶韚鴚鿔
gei	给給
gen	根跟亘哏艮茛亙揯搄
geng	埂庚更梗羹耕耿哽绠赓鲠堩挭浭綆緪菮賡郠骾鯁鶊刯峺暅椩焿畊絚縆羮莄鹒
gong	公工供共功宫巩弓恭拱攻汞贡躬龚廾珙肱蚣觥匑塨宮幊愩拲栱羾貢輁鞏龔匔厷慐杛熕碽糼莻觵躳髸龏
gou	狗勾垢够构沟苟购钩佝媾岣彀枸笱篝缑觏诟遘鞲冓夠姤搆構溝簼緱耇芶茩蚼袧覯詬購鉤雊韝坸撀煹玽耈耉褠訽豿鈎
gu	估古咕固姑孤故沽箍股菇蛊谷辜雇顾骨鼓呱嘏崮梏毂汩牯牿痼瞽罟臌菰蛄觚诂轱酤钴锢鲴鸪鹄鹘僱凅唃啒堌夃嫴尳愲扢柧棝榖榾橭泒淈濲瀔盬稒穀箛縎罛羖蓇薣蛌蠱詁軱轂鈲鈷錮顧鮕鴣鶻傦唂崓皷皼祻笟篐糓脵苽軲逧餶馉鯝鼔
gua	刮剐寡挂瓜褂卦栝胍诖鸹剮劀掛絓緺罣罫詿趏颳騧鴰冎叧啩坬歄煱踻銽颪
guai	乖怪拐掴夬摑枴柺叏恠箉
guan	关冠官惯棺灌管罐观贯馆倌掼涫盥莞鳏鹳丱悹悺慣摜毌爟琯瓘痯瘝矔祼筦觀貫錧鑵關雚館鰥鱞鱹鸛樌泴潅癏礶窤罆舘蒄覌観躀輨遦鏆関闗鳤
guang	光广逛咣桄犷胱俇垙廣撗洸炚烡獷珖臦臩茪銧侊僙姯広欟灮炗炛輄黆
gui	贵刽圭归柜桂瑰癸硅规诡跪轨闺鬼龟刿匦妫宄庋晷桧皈簋鲑鳜佹劊劌匭匱厬垝姽媯嫢嶡巂庪摫撌昋朹槶槻槼檜櫃歸湀珪癐瞡瞶祪禬窐筀簂茥蛫螝蟡襘規觤詭貴軌邽閨騩鮭鱖龜亀嬀帰恑攰攱椝椢櫷猤璝瓌胿膭蓕袿郌陒鞼鬶鬹鱥
gun	棍滚辊丨磙绲衮鲧惃滾璭睔緄蔉袞輥鯀睴蓘謴鮌
guo	国过果裹郭锅呙埚崞帼椁猓聒虢蜾蝈馘咼嘓國堝墎幗彉惈慖槨淉漍濄瘑粿聝膕蔮蟈褁輠過錁鍋鐹啯囯囶囻圀彍綶腘菓鈛餜馃
ha	哈蛤铪奤
hai	还海亥咳孩害氦骇骸嗨胲醢咍嗐妎烸還頦餀駭駴嚡塰酼饚
han	函含喊寒悍憨憾捍撼旱汉汗涵焊罕翰邯酣韩撖晗瀚焓菡蚶邗顸颔鼾咁哻唅嫨嵅扞暵梒歛涆漢熯琀甝睅肣蔊虷蜬蜭螒譀谽豃釬銲鋎鋡閈雗韓頇頷顄馯駻鬫魽鶾丆佄傼兯凾厈圅垾娢屽岾崡晘浛浫澏爳猂皔筨莟蘫蛿闬馠鿰
hang	夯杭航沆绗颃斻笐絎苀蚢貥迒頏魧垳筕
hao	好号嚎壕毫浩耗豪貉郝嗥嚆昊濠灏皓蒿薅蚝颢哠悎昦淏滈澔灝皜皞秏籇茠薃薧號蠔諕譹鄗鎬顥鰝傐儫嘷噑恏晧暤暭曍椃毜獆獋獔皡皥竓聕
he	和何合呵喝核河涸盒禾荷菏褐贺赫阂鹤劾嗬壑曷盍纥翮蚵诃阖颌佫嗃姀峆敆楁欱毼渮澕煂熆熇盉礉篕籺紇翯螛覈訶謞賀郃鉌鑉闔鞨頜魺鶡鶴麧齕龢咊哬啝垎寉惒抲柇焃燺爀狢癋皬盇碋秴穒粭萂蠚袔訸詥貈隺靍靎靏饸鲄鶮鸖鹖龁
hei	嘿黑潶黒
hen	很恨狠痕佷拫鞎詪
heng	亨哼恒横衡桁珩蘅啈姮恆橫烆胻脝鑅堼悙涥鴴鵆鸻
hm	噷
hong	哄宏弘洪烘红虹轰鸿泓荭蕻薨訇讧闳黉仜吰吽嗊嚝妅彋揈汯浤渱渹澋澒灴焢玒竑竤紅紘翃耾苰葒訌谹谼谾輷轟鈜鋐鍧閎闀霐霟鞃鬨魟鴻黌叿呍唝垬娂宖撔晎潂玜硔硡粠紭綋纮翝葓軣鉷銾閧闂
hou	後后候侯厚吼喉猴堠瘊篌糇逅骺鲎垕洉翭翵葔郈鄇鍭餱鯸鱟齁帿犼睺矦豞鮜鲘
hu	乎互呼唬壶弧忽户护沪湖狐瑚糊胡葫虎蝴冱唿囫岵怙惚戽扈斛槲浒滹烀煳猢琥瓠祜笏虍觳轷醐鹕鹱匢嗀嘝垀壺婟媩嫭嫮寣幠戶抇搰昈昒曶枑楛楜槴歑汻沍淴滬滸瀫焀熩綔縠膴芐蔰虖螜衚謼護鄠鍙雽韄頀餬鬍魱鰗鵠鶘鶦乕乥乯俿冴匫喖嘑嚛壷帍弖怘恗戯戸摢泘瓳箶簄粐絗苸萀蔛虝軤錿鍸雐頶鯱鱯鳠鳸鸌
hua	话花划化华哗滑猾画桦砉铧骅劃嘩姡嫿嬅崋搳摦杹槬樺澅畫繣華蘤螖觟話諙譁釪釫鋘錵鏵驊鷨埖夻婲婳撶枠椛畵硴磆糀舙芲蒊蕐誮諣譮黊
huai	坏徊怀槐淮踝咶壞懷櫰瀤蘹蘾褢褱壊懐耲
huan	唤宦幻患换桓欢涣焕环痪缓豢圜奂寰擐洹浣漶獾缳萑逭郇锾鬟鲩喚嚾奐嬛峘懽換攌歡渙澣澴煥犿狟瑍環瓛瘓睆綄緩繯羦肒荁讙豲貆轘酄鍰鐶闤雈驩鯇鴅喛寏嵈愌梙槵歓烉糫絙萈藧貛鉮镮阛鯶鰀鵍鹮
huang	凰幌恍惶慌晃煌皇磺簧荒蝗谎黄徨湟潢璜癀篁肓蟥遑隍鳇偟喤堭媓崲巟怳楻榥滉炾熀熿獚皝穔篊艎葟衁諻謊趪鍠鎤韹餭騜鰉鷬黃兤塃墴奛宺愰晄曂朚櫎瑝皩縨詤鐄锽鱑
hui	会回卉徽恢悔惠慧挥晦毁汇灰烩秽绘蛔讳诲贿辉咴哕喙彗恚晖洄浍缋茴荟蕙虺蟪诙隳麾佪匯嘒噅噦圚孈彙徻恛憓拻揮撝暉會楎槥橞檅檓毀毇洃潓澮濊烠煇燬燴獩璯痐瘣瞺硊禈穢篲繢繪翬翽芔蔧薈薉藱蘳蚘褘詼誨諱譓譭譿豗賄輝迴鏸鐬闠隓顪餯鰴僡儶噕嚖囘囬婎媈嬒寭屶屷幑廻廽彚恵懳暳櫘殨泋湏滙瀈灳烣璤睳絵翙翚蛕蜖袆詯逥阓靧頮颒鮰
hun	婚昏浑混荤魂溷珲诨阍馄倱圂惛慁掍梡棔殙涽渾琿睧睯繉葷觨諢轋閽餛鼲俒堚忶昬焝碈
huo	活火伙惑或祸获豁货霍劐嚯夥攉耠藿蠖钬锪镬佸吙嚄捇掝曤檴沎湱漷濩瀖獲眓矐禍秮穫臛謋貨鈥鑊靃騞俰剨咟嚿奯旤楇癨矆秳耯艧蒦邩鍃閄
