# Pinyin syllable -> characters, for the Chinese layouts.
# Generated by scripts/keyboard/generate_pinyin.py from Unicode/ICU Han-Latin
# readings. Format: syllable<TAB>characters, most likely candidate first.
a	啊阿錒吖锕
dai	代呆岱帶待怠戴歹殆玳袋貸迨逮黛傣呔埭廗柋瀻獃紿艜襶蹛軑軩靆带甙绐贷骀侢叇垈帒帯懛曃瑇簤緿蚮軚轪霴鮘鴏黱
dan	蛋丹但啖啗單彈憚撢擔旦氮淡澹疸簞耽膽誕亶伔僤儋刐勯匰啿嘾噉嚪帎憺抌撣柦殫沊泹澸狚玬甔癉癚眈砃禫窞紞繵聃聸萏蜑衴襌觛贉鄲霮髧鴠黕黮单弹惮担掸殚瘅箪胆诞赕郸単妉媅弾瓭疍耼腅蓞褝躭頕饏馾駳鿕
dang	當儅噹擋檔盪蕩襠讜鐺黨党婸宕嵣愓攩欓潒澢璗璫瓽碭礑簜簹艡菪蟷逿闣凼当挡档砀荡裆谠铛圵垱壋氹灙珰瞊筜蘯譡趤雼
dao	道倒刀到叨導島悼搗燾盜禱稻蹈壔忉捯擣檤氘瓙禂箌纛翢翿舠菿魛刂导岛捣盗祷噵嶋嶌嶹朷椡槝稲艔衜衟軇釖陦隝隯鱽
de	的地得德淂锝嘚徳恴悳惪棏脦鍀
den	扥扽
deng	凳嶝燈登瞪磴等蹬鄧墱嬁戥璒簦豋鐙噔灯邓镫朩櫈竳艠覴隥
di	第弟低嘀堤娣嫡帝底抵敵柢棣氐滌滴牴狄砥笛締翟荻蒂詆諦迪遞邸鏑隄厎呧嚁坻墑墬弤彽旳杕梊梑樀渧焍玓珶甋眱睇碲磾禘篴糴羝聜苖菂菧蔋蔕藡蝃螮袛覿觝踶蹢軧遰釱鍉阺靮鞮馰鬄鸐敌涤籴缔觌诋谛递镝骶仾俤偙僀唙啇啲坔坘埊埞奃媂嶳廸怟慸拞掋摕枤祶腣茋蔐豴趆逓鉪頔髢鯳
dia	嗲
dian	點電店佃典墊奠巔惦殿滇澱玷甸癲碘靛顛傎厧坫壂婝婰扂掂敁槙橝淀瘨癜簟蒧蕇跕踮蹎阽驔齻垫巅点电癫钿颠嚸奌嵮巓攧敟椣槇橂猠琔蜔顚
diao	凋刁叼吊弔彫掉碉調貂釣雕鯛伄屌扚殦琱瞗窵蓧藋虭蛁雿魡鳭鵰调钓铞铫鲷刟奝弴汈瘹窎竨簓訋鈟銱鋽鑃鮉鼦
die	喋爹牒疊碟絰耋蝶諜跌迭垤堞峌嵽惵挕揲昳楪瓞眣胅臷艓苵蜨褋詄蹀镻鰈叠谍鲽哋幉恎戜曡殜氎牃畳疂疉眰绖耊褺趃
ding	定丁仃叮盯訂酊釘錠頂鼎啶嵿帄椗濎玎疔碇碠耵萣薡虰鋌靪顁飣腚订钉锭顶奵忊矴磸聢蝊鐤饤鼑
diu	丟銩丢铥
dong	動東冬凍咚峒恫懂棟洞湩胴董鼕侗垌埬墥姛嬞崠戙挏氡涷硐絧苳菄蕫蝀迵霘駧鶇东冻动岽栋胨鸫倲働娻崬徚昸氭笗箽腖諌鮗鯟鶫鿴
dou	都兜抖斗枓痘竇脰蚪豆逗陡鬥唗梪浢荳郖酘鈄餖窦篼蔸钭乧兠吺唞斣橷毭閗闘阧饾鬦鬪鬬鬭
du	嘟堵妒度杜櫝毒渡瀆牘犢獨督睹篤肚蠹讀賭鍍髑黷剢帾殰皾秺芏蝳裻讟贕醏錖闍韇韣韥椟渎牍犊独笃读赌镀黩凟匵厾妬嬻殬涜琽瓄荰螙蠧覩読豄鑟阇靯騳
duan	短斷段端緞耑鍛偳剬媏椴毈碫籪腶葮躖断煅簖缎锻塅瑖褍鍴
dui	對兌堆碓隊憝懟濧瀩痽祋薱譈鐓頧鴭兑对怼队兊垖塠対嵟憞磓綐襨譵鐜陮
dun	噸囤墩惇敦沌燉盹盾蹲躉遁鈍頓伅吨庉撉楯橔潡炖礅蜳遯驐砘趸钝镦顿墪撴犜獤碷踲蹾逇
